id,name,age,city,salary
1,User_1,21,Hanoi,30100
2,User_2,22,HCM,30200
3,User_3,23,Danang,30300
4,User_4,24,Haiphong,30400
5,User_5,25,Cantho,30500
6,User_6,26,Hanoi,30600
7,User_7,27,HCM,30700
8,User_8,28,Danang,30800
9,User_9,29,Haiphong,30900
10,User_10,30,Cantho,31000
11,User_11,31,Hanoi,31100
12,User_12,32,HCM,31200
13,User_13,33,Danang,31300
14,User_14,34,Haiphong,31400
15,User_15,35,Cantho,31500
16,User_16,36,Hanoi,31600
17,User_17,37,HCM,31700
18,User_18,38,Danang,31800
19,User_19,39,Haiphong,31900
20,User_20,40,Cantho,32000
21,User_21,41,Hanoi,32100
22,User_22,42,HCM,32200
23,User_23,43,Danang,32300
24,User_24,44,Haiphong,32400
25,User_25,45,Cantho,32500
26,User_26,46,Hanoi,32600
27,User_27,47,HCM,32700
28,User_28,48,Danang,32800
29,User_29,49,Haiphong,32900
30,User_30,50,Cantho,33000
31,User_31,51,Hanoi,33100
32,User_32,52,HCM,33200
33,User_33,53,Danang,33300
34,User_34,54,Haiphong,33400
35,User_35,55,Cantho,33500
36,User_36,56,Hanoi,33600
37,User_37,57,HCM,33700
38,User_38,58,Danang,33800
39,User_39,59,Haiphong,33900
40,User_40,60,Cantho,34000
41,User_41,61,Hanoi,34100
42,User_42,62,HCM,34200
43,User_43,63,Danang,34300
44,User_44,64,Haiphong,34400
45,User_45,65,Cantho,34500
46,User_46,66,Hanoi,34600
47,User_47,67,HCM,34700
48,User_48,68,Danang,34800
49,User_49,69,Haiphong,34900
50,User_50,20,Cantho,35000
51,User_51,21,Hanoi,35100
52,User_52,22,HCM,35200
53,User_53,23,Danang,35300
54,User_54,24,Haiphong,35400
55,User_55,25,Cantho,35500
56,User_56,26,Hanoi,35600
57,User_57,27,HCM,35700
58,User_58,28,Danang,35800
59,User_59,29,Haiphong,35900
60,User_60,30,Cantho,36000
61,User_61,31,Hanoi,36100
62,User_62,32,HCM,36200
63,User_63,33,Danang,36300
64,User_64,34,Haiphong,36400
65,User_65,35,Cantho,36500
66,User_66,36,Hanoi,36600
67,User_67,37,HCM,36700
68,User_68,38,Danang,36800
69,User_69,39,Haiphong,36900
70,User_70,40,Cantho,37000
71,User_71,41,Hanoi,37100
72,User_72,42,HCM,37200
73,User_73,43,Danang,37300
74,User_74,44,Haiphong,37400
75,User_75,45,Cantho,37500
76,User_76,46,Hanoi,37600
77,User_77,47,HCM,37700
78,User_78,48,Danang,37800
79,User_79,49,Haiphong,37900
80,User_80,50,Cantho,38000
81,User_81,51,Hanoi,38100
82,User_82,52,HCM,38200
83,User_83,53,Danang,38300
84,User_84,54,Haiphong,38400
85,User_85,55,Cantho,38500
86,User_86,56,Hanoi,38600
87,User_87,57,HCM,38700
88,User_88,58,Danang,38800
89,User_89,59,Haiphong,38900
90,User_90,60,Cantho,39000
91,User_91,61,Hanoi,39100
92,User_92,62,HCM,39200
93,User_93,63,Danang,39300
94,User_94,64,Haiphong,39400
95,User_95,65,Cantho,39500
96,User_96,66,Hanoi,39600
97,User_97,67,HCM,39700
98,User_98,68,Danang,39800
99,User_99,69,Haiphong,39900
100,User_100,20,Cantho,40000
